Monthly Income (INR),Cost of Living Expenditure (INR),Other Important Investments (INR),Consumerist Expenditure (INR),Crisis Shock Expenditure (INR),Total Monthly Expenditure (INR),Debt Status,Financial State Category,Current Monthly Income Enough for Next Few Months,Current Expenditure Worth It,Suggested Budget - Cost of Living,Suggested Budget - Other Important Investments,Suggested Budget - Consumerist Expenditure,Suggested Budget - Crisis Shocks
98378,59277,11865,29457,3443,104042,In Debt,Deficit Living,No,No,0.53,0.12,0.15,0.05
295623,138488,19207,58370,27586,243651,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.47,0.1,0.09,0.09
111686,24389,2859,9110,8612,44970,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.09,0.08,0.08
426489,104985,18422,60055,21455,204917,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.14,0.05
442540,234413,77829,55203,75095,442540,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.08,0.12
198974,103810,24397,27300,102551,258058,In Debt,Deficit Living,No,No,0.48,0.12,0.11,0.11
371127,169948,67979,110007,23193,371127,In Debt,Zero-Balance Living,No,No,0.43,0.17,0.14,0.06
110351,53309,11463,25549,20030,110351,Not in Debt,Zero-Balance Living,No,No,0.48,0.1,0.14,0.1
19184,6851,3155,4657,2359,17022,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.36,0.09,0.12,0.07
104314,40377,16872,25938,9758,92945,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.39,0.14,0.13,0.09
366017,154130,26822,89719,63101,333772,In Debt,Low-Rate Saver (<25% in savings),No,No,0.42,0.12,0.09,0.12
421857,104667,13680,74379,66551,259277,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.18,0.12
75487,14736,3025,8164,4880,30805,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.09,0.11,0.06
376351,237531,57957,85116,35151,415755,In Debt,Deficit Living,No,No,0.43,0.15,0.13,0.09
457353,200013,49586,121612,86142,457353,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
289575,65204,21102,15512,28664,130482,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.1,0.08,0.1
139677,71602,9113,47826,44883,173424,In Debt,Deficit Living,No,No,0.51,0.09,0.15,0.1
303349,65685,26960,17886,50565,161096,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.12,0.08,0.12
197583,80242,39487,31682,46172,197583,Not in Debt,Zero-Balance Living,No,Yes,0.41,0.15,0.15,0.11
403847,224920,23433,113580,24507,386440,In Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.14,0.06
436004,187414,76870,45403,110090,419777,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.43,0.17,0.08,0.07
32707,13088,2910,4766,6286,27050,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.4,0.09,0.13,0.08
209354,74338,14310,15324,32100,136072,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.36,0.1,0.08,0.11
488687,121938,30182,36079,16733,204932,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.08,0.05
458119,114066,37787,65603,34699,252155,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.14,0.08
271160,149965,29814,79494,6413,265686,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.11,0.11,0.05
154822,46520,16743,13001,14657,90921,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.11,0.08,0.09
236686,111669,35325,30377,51303,228674,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.47,0.15,0.08,0.05
296843,174562,57010,38768,116373,386713,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
84461,49878,20083,16260,34248,120469,In Debt,Deficit Living,No,Yes,0.53,0.14,0.08,0.1
369658,219240,81186,127039,38469,465934,In Debt,Deficit Living,No,No,0.43,0.17,0.1,0.1
234749,140791,24232,28164,48273,241460,In Debt,Deficit Living,No,No,0.48,0.1,0.12,0.11
453704,239241,114861,178084,63969,596155,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
454668,115891,32042,28420,49449,225802,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.08,0.11
82641,46211,6069,10041,20320,82641,Not in Debt,Zero-Balance Living,No,No,0.53,0.09,0.1,0.1
25018,11457,1894,2135,3869,19355,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.46,0.08,0.09,0.07
81178,44841,5058,15175,24073,89147,In Debt,Deficit Living,No,No,0.53,0.09,0.13,0.1
205844,152069,33362,67533,17896,270860,In Debt,Deficit Living,No,No,0.48,0.15,0.1,0.09
416505,170937,40071,90043,115454,416505,Not in Debt,Zero-Balance Living,No,No,0.41,0.12,0.15,0.12
176805,93054,27172,21007,41973,183206,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
135772,54308,7894,25521,6439,94162,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.4,0.09,0.15,0.05
73254,40837,13975,10970,7472,73254,Not in Debt,Zero-Balance Living,No,Yes,0.56,0.12,0.08,0.06
366674,200181,50105,55919,141936,448141,In Debt,Deficit Living,No,No,0.43,0.14,0.11,0.12
223759,116960,36114,54993,78011,286078,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
166161,90153,30658,42873,46945,210629,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
127591,78641,32027,46264,12634,169566,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
222993,89238,29702,38911,65142,222993,Not in Debt,Zero-Balance Living,No,No,0.4,0.13,0.17,0.11
450210,276327,66794,71710,132585,547416,In Debt,Deficit Living,No,No,0.43,0.15,0.1,0.12
80223,40246,15479,20933,18275,94933,In Debt,Deficit Living,No,No,0.5,0.14,0.11,0.1
27676,12845,3844,4289,518,21496,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.46,0.09,0.12,0.05
160525,100424,18678,53694,40659,213455,In Debt,Deficit Living,No,No,0.48,0.12,0.11,0.11
244790,127650,29085,29420,58635,244790,Not in Debt,Zero-Balance Living,No,No,0.48,0.12,0.11,0.11
438303,156600,19842,66050,98538,341030,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.36,0.12,0.15,0.12
200241,109983,31927,66228,51390,259528,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
256044,101861,31717,48832,49960,232370,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.4,0.12,0.12,0.11
199994,86851,14177,48600,24292,173920,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.1,0.11,0.11
136945,48240,14293,20106,12015,94654,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.35,0.1,0.15,0.09
241518,129243,21167,58255,32853,241518,In Debt,Zero-Balance Living,No,No,0.48,0.1,0.13,0.11
406904,137799,23153,75340,41766,278058,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.34,0.12,0.16,0.1
218731,144919,37455,51691,29090,263155,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
380513,218632,39714,63640,58527,380513,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
475133,276775,33822,104800,59736,475133,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
381364,185435,52237,97426,0,332807,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.14,0.13,0.05
329589,271540,78808,99709,5494,455551,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
30660,21436,3823,5508,5662,36429,In Debt,Deficit Living,No,No,0.58,0.12,0.08,0.07
301229,82093,25908,24414,42562,174977,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.12,0.08,0.12
432349,218371,91058,114438,112421,536288,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
373454,151817,65198,77065,79374,373454,In Debt,Zero-Balance Living,No,No,0.41,0.17,0.1,0.12
265229,142582,17371,26967,55431,242351,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.1,0.08,0.09
143194,81762,11835,25732,23865,143194,Not in Debt,Zero-Balance Living,No,No,0.53,0.09,0.1,0.1
226502,104950,32576,30101,11483,179110,In Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.46,0.14,0.1,0.05
249175,161093,55284,33954,68841,319172,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
62087,34544,4619,14902,8022,62087,Not in Debt,Zero-Balance Living,No,No,0.56,0.07,0.11,0.08
198067,68331,12947,38605,39919,159802,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.34,0.1,0.17,0.11
241280,110730,28021,20994,29505,189250,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.46,0.12,0.08,0.09
122947,60271,18134,17803,26739,122947,In Debt,Zero-Balance Living,No,Yes,0.49,0.14,0.09,0.1
18646,11048,2814,3936,848,18646,Not in Debt,Zero-Balance Living,No,No,0.59,0.09,0.09,0.05
54577,29019,6138,16241,3179,54577,In Debt,Zero-Balance Living,No,No,0.53,0.11,0.12,0.06
445523,228208,27530,61753,109444,426935,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
250234,113229,19160,51132,12061,195582,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.45,0.1,0.15,0.05
52261,21176,3019,4793,11331,40319,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.07,0.09,0.08
442208,167686,39024,51953,43853,302516,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.38,0.12,0.12,0.1
376425,241516,30595,101145,90316,463572,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
435999,273508,24184,57958,115645,471295,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
177199,76082,23042,21485,28578,149187,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.43,0.13,0.08,0.11
140859,55477,23009,24263,21756,124505,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.39,0.14,0.12,0.1
73552,31402,10232,9521,22397,73552,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.12,0.13,0.08
221047,97940,18602,27585,76920,221047,In Debt,Zero-Balance Living,No,No,0.44,0.1,0.12,0.11
197600,125945,42456,42949,2269,213619,In Debt,Deficit Living,No,No,0.48,0.15,0.14,0.05
437213,324196,50426,87590,115654,577866,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
297889,193698,35793,82698,95119,407308,In Debt,Deficit Living,No,No,0.48,0.12,0.11,0.11
184423,86456,36053,18509,43405,184423,Not in Debt,Zero-Balance Living,No,Yes,0.47,0.15,0.09,0.11
476850,394104,122756,164741,0,669697,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
409870,180022,26558,81715,133052,421347,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
385145,206084,48484,55826,74751,385145,Not in Debt,Zero-Balance Living,No,No,0.43,0.13,0.12,0.12
461720,207655,76357,130192,99132,513336,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
186764,86941,11568,38482,49773,186764,Not in Debt,Zero-Balance Living,No,No,0.47,0.1,0.14,0.11
436786,231641,74814,55784,193243,555482,In Debt,Deficit Living,No,Yes,0.43,0.17,0.08,0.12
420173,191943,77564,89928,60738,420173,In Debt,Zero-Balance Living,No,No,0.43,0.17,0.08,0.12
380989,234315,73975,120382,104844,533516,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
423191,151627,37953,40938,22780,253298,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.36,0.12,0.1,0.05
100439,33495,7395,8952,6026,55868,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.33,0.09,0.09,0.06
333819,193120,59562,88655,0,333819,Not in Debt,Zero-Balance Living,No,No,0.43,0.17,0.15,0.05
136483,23691,5032,11011,15794,55528,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.17,0.09,0.08,0.1
344316,164142,45099,79462,55613,344316,Not in Debt,Zero-Balance Living,No,No,0.43,0.13,0.12,0.12
247429,68531,21536,16939,17428,124434,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.1,0.08,0.07
70955,39240,12211,20287,0,70955,Not in Debt,Zero-Balance Living,No,No,0.55,0.12,0.1,0.05
158611,47753,13659,18606,24387,104405,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.1,0.12,0.11
28592,11837,2652,8148,5955,28592,Not in Debt,Zero-Balance Living,No,No,0.41,0.09,0.12,0.07
272152,218363,55350,87454,18972,380139,In Debt,Deficit Living,No,No,0.48,0.15,0.12,0.07
457899,235212,35516,97801,170462,538991,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
350449,294535,95423,107726,0,493134,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
108944,88451,7901,41021,19320,156693,In Debt,Deficit Living,No,No,0.53,0.09,0.13,0.1
65618,28576,6801,12838,17403,65618,Not in Debt,Zero-Balance Living,No,No,0.44,0.1,0.13,0.08
289421,110711,12057,51254,15129,189151,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.38,0.1,0.17,0.05
278143,155724,30223,75652,16544,278143,Not in Debt,Zero-Balance Living,No,No,0.48,0.11,0.17,0.06
449499,86885,13728,41587,38314,180514,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.19,0.12,0.09,0.09
262940,113358,43610,77423,28549,262940,Not in Debt,Zero-Balance Living,No,No,0.43,0.15,0.13,0.11
259376,106865,40250,26693,85568,259376,Not in Debt,Zero-Balance Living,No,Yes,0.41,0.15,0.1,0.11
494527,242548,32871,67242,151866,494527,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
367853,154080,29084,88332,27169,298665,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.12,0.14,0.07
150730,81713,13386,39954,15677,150730,In Debt,Zero-Balance Living,No,No,0.48,0.1,0.14,0.1
270053,148621,44229,93214,59160,345224,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
422769,116328,16091,69122,49751,251292,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.12,0.16,0.12
427441,191875,59051,41505,93773,386204,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.43,0.14,0.08,0.1
296090,176090,28747,70288,79675,354800,In Debt,Deficit Living,No,No,0.48,0.1,0.13,0.11
93850,49327,8945,17884,10816,86972,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.53,0.09,0.08,0.05
306607,185961,55570,45570,84996,372097,In Debt,Deficit Living,No,Yes,0.43,0.17,0.08,0.12
425664,254517,84902,107006,0,437209,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
95263,19192,1960,9322,7853,38327,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.09,0.1,0.08
86540,22028,3553,7052,5260,37893,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.09,0.08,0.06
327013,220471,41465,113966,10548,386450,In Debt,Deficit Living,No,No,0.43,0.13,0.18,0.05
93284,55627,5642,10553,21462,93284,Not in Debt,Zero-Balance Living,No,No,0.53,0.09,0.1,0.1
291139,161729,22455,69036,69618,322838,In Debt,Deficit Living,No,No,0.48,0.1,0.13,0.11
392905,164968,29047,67448,131442,392905,Not in Debt,Zero-Balance Living,No,No,0.42,0.12,0.14,0.12
365382,217155,52321,80032,15874,365382,Not in Debt,Zero-Balance Living,No,No,0.43,0.14,0.18,0.05
212909,122366,32043,59201,0,212909,In Debt,Zero-Balance Living,No,No,0.48,0.15,0.14,0.05
324327,137092,31895,52404,102936,324327,Not in Debt,Zero-Balance Living,No,No,0.42,0.12,0.14,0.12
57716,33338,8422,6253,9703,57716,Not in Debt,Zero-Balance Living,No,Yes,0.58,0.11,0.08,0.05
167324,53000,15820,16858,21811,107489,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.32,0.1,0.1,0.11
289667,166796,47951,103947,51574,370268,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
258542,154655,35641,74143,0,258542,Not in Debt,Zero-Balance Living,No,No,0.48,0.14,0.15,0.05
407071,220258,26651,44568,115594,407071,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.11,0.12
354733,118375,25128,77342,73060,293905,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.33,0.12,0.18,0.12
170844,90184,18150,17904,44606,170844,Not in Debt,Zero-Balance Living,No,Yes,0.48,0.11,0.1,0.11
398202,153345,25762,73748,17153,270008,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.39,0.12,0.16,0.05
129519,49407,11947,8546,14559,84459,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.38,0.09,0.08,0.1
289565,231568,32155,105785,19217,388725,In Debt,Deficit Living,No,No,0.48,0.11,0.16,0.07
331132,239786,63762,75370,51288,430206,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
378226,127608,35656,53642,31644,248550,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.34,0.12,0.14,0.08
92993,18902,3533,10971,8263,41669,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.09,0.12,0.09
139527,29870,7057,18501,8891,64319,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.21,0.09,0.13,0.06
43530,29170,3427,14786,14318,61701,In Debt,Deficit Living,No,No,0.58,0.08,0.11,0.08
473436,88240,30158,20932,60790,200120,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.19,0.12,0.08,0.12
121250,49885,7655,24593,36344,118477,In Debt,Low-Rate Saver (<25% in savings),No,No,0.41,0.09,0.15,0.1
392523,287259,75366,134101,7367,504093,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
237333,86929,14474,26769,79832,208004,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.37,0.1,0.11,0.11
81174,32798,7628,10425,24697,75548,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.4,0.09,0.13,0.1
72598,32850,8601,8218,7522,57191,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.45,0.12,0.1,0.08
345373,185862,27890,73780,57841,345373,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
495904,206399,37104,87223,52504,383230,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.12,0.1,0.11
321869,145238,38661,82978,54992,321869,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
339180,141142,19604,41792,88918,291456,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.12,0.09,0.12
102199,22381,2521,10130,8745,43777,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.09,0.1,0.09
28929,5513,1422,1741,3747,12423,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.19,0.07,0.08,0.07
185397,74424,11257,28421,29247,143349,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.4,0.1,0.14,0.11
22427,12261,3653,5057,1456,22427,In Debt,Zero-Balance Living,No,No,0.55,0.09,0.12,0.06
165843,33646,8426,8413,19798,70283,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.1,0.08,0.11
332130,209469,34783,91890,15032,351174,In Debt,Deficit Living,No,No,0.43,0.12,0.18,0.05
280436,164585,19331,71095,25425,280436,Not in Debt,Zero-Balance Living,No,No,0.48,0.1,0.15,0.09
99884,63282,8440,20453,17637,109812,In Debt,Deficit Living,No,No,0.53,0.09,0.13,0.1
163964,109163,10742,42200,34520,196625,In Debt,Deficit Living,No,No,0.48,0.1,0.13,0.11
437731,159287,24108,52662,46677,282734,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.36,0.12,0.12,0.11
22847,15663,2927,6412,2967,27969,In Debt,Deficit Living,No,No,0.62,0.09,0.08,0.06
245045,61950,6484,24070,33345,125849,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.1,0.1,0.11
380289,106884,31438,29456,33716,201494,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.12,0.08,0.09
311641,92486,18555,33715,12066,156822,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.12,0.11,0.05
209569,83227,10204,41500,35397,170328,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.4,0.1,0.14,0.11
434913,243882,21961,46241,101461,413545,In Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
44864,11895,1407,4623,2224,20149,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.07,0.1,0.05
25467,18045,4068,5082,9507,36702,In Debt,Deficit Living,No,No,0.62,0.09,0.08,0.06
54426,16008,3196,6975,2183,28362,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.07,0.13,0.05
30360,21991,7566,10268,3776,43601,In Debt,Deficit Living,No,No,0.58,0.12,0.08,0.07
50503,10662,2943,4325,8386,26316,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.21,0.07,0.09,0.08
341637,265011,50722,94945,40647,451325,In Debt,Deficit Living,No,No,0.43,0.15,0.1,0.12
468916,182973,27152,60702,90210,361037,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.39,0.12,0.12,0.12
19380,11505,1860,5719,296,19380,Not in Debt,Zero-Balance Living,No,No,0.59,0.09,0.09,0.05
453342,268652,66060,70945,47685,453342,Not in Debt,Zero-Balance Living,No,No,0.43,0.15,0.11,0.11
145922,66519,21377,42709,15317,145922,In Debt,Zero-Balance Living,No,No,0.46,0.14,0.12,0.1
115650,57153,18510,19610,5251,100524,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.49,0.13,0.08,0.05
68534,39849,8210,17519,2956,68534,Not in Debt,Zero-Balance Living,No,No,0.58,0.11,0.08,0.05
183019,75036,14967,34848,24486,149337,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.1,0.13,0.11
301448,169159,20245,87912,24132,301448,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.17,0.08
70534,24932,8596,6311,16163,56002,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.35,0.12,0.09,0.08
410591,152938,54026,94874,36909,338747,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.37,0.13,0.16,0.09
483524,302324,84898,100715,36000,523937,In Debt,Deficit Living,No,No,0.43,0.17,0.13,0.07
307831,145030,40324,84739,59212,329305,In Debt,Deficit Living,No,No,0.43,0.13,0.12,0.12
167439,109407,14260,33322,42045,199034,In Debt,Deficit Living,No,No,0.48,0.1,0.13,0.11
70139,30322,7835,11014,13376,62547,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.11,0.13,0.08
460278,129003,39502,22799,28673,219977,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.12,0.08,0.06
298818,77192,18297,47763,18804,162056,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.1,0.16,0.06
129373,61271,20314,27906,19882,129373,Not in Debt,Zero-Balance Living,No,No,0.47,0.14,0.11,0.1
405771,163350,70250,81309,90862,405771,Not in Debt,Zero-Balance Living,No,No,0.4,0.17,0.11,0.12
407796,198435,26391,51541,74778,351145,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
317684,172110,39119,88841,17614,317684,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.18,0.06
489564,208350,50276,103097,50917,412640,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.1,0.1
386507,246074,24298,54018,127195,451585,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
373777,171465,36024,40331,149752,397572,In Debt,Deficit Living,No,No,0.43,0.12,0.11,0.12
135353,31623,3375,11841,11448,58287,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.09,0.09,0.08
163460,82301,19496,46611,15052,163460,In Debt,Zero-Balance Living,No,No,0.48,0.12,0.13,0.09
400433,143508,45545,71610,95999,356662,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.36,0.12,0.15,0.12
210770,55138,21019,15596,26459,118212,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.1,0.08,0.11
499295,393293,120812,148655,17336,680096,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
93640,45711,18454,17290,22187,103642,In Debt,Deficit Living,No,Yes,0.49,0.14,0.12,0.1
434991,257687,86651,52992,37661,434991,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.11,0.09
215558,80252,14440,32662,11742,139096,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.37,0.1,0.15,0.05
343721,119677,38948,27274,17872,203771,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.35,0.12,0.08,0.05
463751,147649,44521,40710,16723,249603,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.32,0.12,0.09,0.05
171670,86778,29379,38186,58284,212627,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
34989,20438,6164,8750,0,34989,Not in Debt,Zero-Balance Living,No,No,0.58,0.11,0.08,0.05
160080,75829,14908,22272,38084,151093,In Debt,Low-Rate Saver (<25% in savings),No,No,0.47,0.1,0.08,0.1
405811,180252,55984,36414,61457,334107,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.43,0.14,0.08,0.1
112794,36964,6340,13034,34005,90343,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.33,0.09,0.12,0.1
386302,77371,25614,31198,26220,160403,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.12,0.08,0.07
260065,134142,40851,37376,31394,243763,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.48,0.14,0.08,0.05
29028,13481,5743,6765,6691,32680,In Debt,Deficit Living,No,No,0.46,0.09,0.12,0.07
385849,219176,72915,79159,14599,385849,Not in Debt,Zero-Balance Living,No,No,0.43,0.17,0.15,0.05
458863,196974,26974,56834,95964,376746,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
170785,131859,25629,55236,33737,246461,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
128253,29921,10284,13544,9481,63230,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.09,0.11,0.07
412654,108565,29791,32937,71759,243052,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.12,0.08,0.12
226799,98481,33094,26576,62756,220907,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.43,0.15,0.08,0.09
480293,208774,31202,91297,149020,480293,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
421969,169910,22574,63446,133172,389102,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.4,0.12,0.11,0.12
395782,155219,56037,59273,69502,340031,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.39,0.14,0.1,0.12
423684,123447,41690,31331,20474,216942,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.12,0.08,0.05
486433,234717,78893,82376,175262,571248,In Debt,Deficit Living,No,No,0.43,0.16,0.09,0.12
424357,222563,75606,144958,50407,493534,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
413466,175832,67332,70901,99401,413466,In Debt,Zero-Balance Living,No,No,0.43,0.16,0.09,0.12
